species,NCBI_taxonomy_ID,percent present,mean reads,total reads
Acinetobacter_sp. FDAARGOS_724,2545797,0.20418580908626582,0.04884352456260006,95.68446461813352
Acinetobacter_sp. HR7,1509403,0.7146503318019359,0.08775895603623259,171.91979487497963
Acinetobacter_sp. LUNF3,2925837,0.3062787136294043,0.046794415998140826,91.67026094035788
Acinetobacter_sp. LoGeW2-3,1808001,0.9698825931597765,0.07823122618785758,153.254972102013
Acinetobacter_sp. MYb10,1827285,0.9698825931597765,0.10911560170268646,213.75746373556277
Acinetobacter_sp. Marseille-Q1620,2714110,0.8167432363450744,0.14481698082659644,283.6964654393024
Acinetobacter_sp. NCu2D-2,1608473,1.4803471158754467,0.33197890642696415,650.3466776904228
Acinetobacter_sp. NEB 394,2743575,0.7656967840735107,0.3508823789458675,687.3785803549545
Acinetobacter_sp. NEB149,2725684,0.5104645227156701,0.11043119324551312,216.3347075679602
Acinetobacter_sp. NIPH 2100,1217708,1.786625829504851,0.2679384936520655,524.8915090643964
Acinetobacter_sp. NyZ410,2929509,3.8284839203675314,0.7107934088370224,1392.4442879117269
Acinetobacter_sp. PK01,2930198,0.40837161817253165,0.048512093192113366,95.03519056335008
Acinetobacter_sp. RUH 2624,575564,0.3062787136294043,0.6567585755239287,1286.5900494513762
Acinetobacter_sp. SCLZS86,2908637,1.8376722817764146,1.6408815891279835,3214.4870331017196
Acinetobacter_sp. SFB,1805634,1.3782542113323082,0.43054711383444877,843.4417960016851
Acinetobacter_sp. SH20PTE14,2905879,0.15313935681470214,0.025219155257203973,49.40432514886258
Acinetobacter_sp. SWBY1,2079596,0.2552322613578406,0.07845902874664475,153.70123731467706
Acinetobacter_sp. TGL-Y2,1407071,4.3389484430832015,1.1195095019425443,2193.1191143054443
Acinetobacter_sp. TTH0-4,1646498,4.95150587034201,1.538639878835859,3014.195522639448
Acinetobacter_sp. Tol 5,710648,0.2552322613578406,0.11388775756409414,223.10611706806043
Acinetobacter_sp. WC-141,903915,0.40837161817253165,1.9212335906286564,3763.6966040415377
Acinetobacter_sp. WCHA45,2004644,0.45941807044410643,0.10165219627538966,199.13665250348834
Acinetobacter_sp. WCHA55,2004646,0.9698825931597765,0.40526992893061353,793.9237907750719
Acinetobacter_sp. WCHAc010034,1879049,4.492087799897904,0.8206468966240499,1607.6472704865137
Acinetobacter_sp. WCHAc010052,2004647,1.429300663603883,0.49092341307448045,961.7189662129072
Acinetobacter_sp. WY4,2708348,0.45941807044410643,0.04454275225150918,87.25925166070648
Acinetobacter_sp. XS-4,2923375,0.45941807044410643,1.8479869459112999,3620.2064270402366
Acinetobacter_sp. Y-23,2943497,1.6334864726901488,0.274747848466477,538.2310351458284
Acinetobacter_sp. YH12068_T,2929515,0.6125574272588086,0.23017402778398255,450.91092042882184
Acinetobacter_sp. YH12138,2601122,0.8167432363450744,0.20299147318407038,397.66029596759387
Acinetobacter_sp. YH16040_T,2929512,0.10209290454313846,0.026668337300669427,52.24327277201141
Acinetobacter_sp. YH16056_T,2929514,3.0627871362940318,0.5734605859747708,1123.409287924576
Acinetobacter_sp. Z1,2953738,0.5104645227156701,0.3527383478310417,691.0144234010106
Acinetobacter_stercoris,2126983,0.40837161817253165,0.16828610301779945,329.6724758118691
Acinetobacter_tandoii,202954,0.6636038795303723,0.12875747532415813,252.23589416002577
Acinetobacter_tjernbergiae,202955,1.4803471158754467,0.25249776284831493,494.643117419849
Acinetobacter_towneri,202956,3.011740684022457,2.0700306422638435,4055.1900281948692
Acinetobacter_ursingii,108980,1.8887187340479783,0.580507952839831,1137.215079613229
